player_name,club,position,assists,corner_taken,offsides,dribbles,total_attempts,on_target,off_target,blocked,balls_recoverd,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,red,yellow,pass_attempted,pass_completed,cross_attempted,cross_complted,freekicks_taken,match_played,saved,conceded,saved_penalties,cleansheets,punches made,goals,goals_right_foot,goals_left_foot,goals_headers,goals_others,goals_inside_area,goals_outside_areas,penalties,minutes_played,match_played,distance_covered
Mingueza,Barcelona,Defender,0,0,0,0,0,0,0,0,11,1,1,0,7,1,0,0,140,119,11,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,219,5,27.2
L. de Jong,Barcelona,Forward,0,0,0,0,6,1,5,0,1,0,0,0,1,1,0,0,35,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,179,3,22.3
Depay,Barcelona,Forward,0,0,0,0,6,0,1,5,2,2,2,0,3,6,0,0,254,203,40,15,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,525,6,64.4
Coutinho,Barcelona,Forward,0,0,0,0,4,1,2,1,1,0,0,0,1,4,0,0,66,52,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,109,4,14.3
Dembélé,Barcelona,Forward,0,0,0,0,4,1,2,1,2,0,1,0,1,2,0,0,57,41,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3,14.8
Fati,Barcelona,Forward,0,0,0,0,4,1,1,2,2,1,0,0,6,2,0,0,74,64,2,1,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0,154,3,19.7
Agüero,Barcelona,Forward,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1.9
Ter Stegen,Barcelona,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,188,0,0,12,0,16,9,0,3,2,0,0,0,0,0,0,0,0,540,6,29
Gavi,Barcelona,Midfielder,0,0,0,0,4,0,3,1,20,4,5,2,16,7,2,0,164,153,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,398,6,54.1
F. de Jong,Barcelona,Midfielder,0,0,0,0,3,1,1,1,25,3,7,3,4,7,1,0,346,312,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,523,6,69
Nico González,Barcelona,Midfielder,0,0,0,0,3,0,0,3,12,3,3,1,6,3,1,0,143,129,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,247,4,33.6
Demir,Barcelona,Midfielder,0,0,0,0,2,1,1,0,1,0,0,0,1,1,0,0,47,39,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,101,3,12.8
Sergio Busquets,Barcelona,Midfielder,0,0,0,0,2,0,1,1,29,9,10,3,9,14,1,0,382,340,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,487,6,63.9
Sergi Roberto,Barcelona,Midfielder,0,0,0,0,2,0,1,1,4,1,1,3,0,0,0,0,77,62,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,3,22
Pedri,Barcelona,Midfielder,0,0,0,0,1,0,1,0,8,0,2,0,2,1,0,0,103,90,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2,20.7
Ricard Puig,Barcelona,Midfielder,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2.4
Pavard,Bayern Munich,Defender,1,0,2,0,10,2,7,1,55,7,5,17,9,4,0,0,676,613,12,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,764,10,96.7
Stanišić,Bayern Munich,Defender,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,3.6
